scheme,model,scan_rule,direction,tau,calibration_clips,calibration_groups,shared_source_groups,fitting_visited_count,fitting_visited_errors,fitting_actual_count,fitting_actual_errors,fitting_actual_risk,fitting_tie_expansion,fitting_actual_meets_target,clips,source_groups,N,B,A,E,admitted_clips,zero_retained_clips,risk_pass_clips,joint_pass_clips,high_risk_clips,under_half_coverage_clips,pooled_risk,pooled_risk_ci_lower,pooled_risk_ci_upper,pooled_risk_bootstrap_valid,retention,retention_ci_lower,retention_ci_upper,retention_bootstrap_valid,joint_fraction,joint_fraction_ci_lower,joint_fraction_ci_upper,joint_fraction_bootstrap_valid,compliance_admitted,compliance_admitted_ci_lower,compliance_admitted_ci_upper,compliance_admitted_bootstrap_valid,mean_clip_risk,mean_clip_risk_ci_lower,mean_clip_risk_ci_upper,mean_clip_risk_bootstrap_valid,fitting
source_group,Combined,prefix,both,,,,,,,,,,,,173,69,473472,96989,418600,42117,173,0,126,126,47,14,0.10061395126612518,0.06700010535821023,0.14495638370536967,2000,0.8841071911327386,0.8215200232511563,0.9301422092247964,2000,0.7283236994219653,0.6166588050314465,0.8300653594771242,2000,0.7283236994219653,0.6166588050314465,0.8300653594771242,2000,0.14766679553197443,0.09039882507755927,0.21774028663290937,2000,
source_group,Combined,full_tie_groups,A,0.945352,88,35,0,221927,22192,221927,22192,0.09999684580965813,0,True,85,34,228784,52036,202631,25883,85,0,54,54,31,5,0.1277346506704305,0.07664351346183043,0.20165917798954858,2000,0.8856869361493811,0.8238023286205987,0.932031753145897,2000,0.6352941176470588,0.4624239864864865,0.7741935483870968,2000,0.6352941176470588,0.4624239864864865,0.7741935483870968,2000,0.1727377927818933,0.10246371884243015,0.26858222835522916,2000,
source_group,Combined,full_tie_groups,B,0.803233,85,34,0,196386,19638,196386,19638,0.09999694479239864,0,True,88,35,244688,44953,215969,16234,88,0,72,72,16,9,0.07516819543545601,0.038638369695126455,0.1275458068173966,2000,0.8826301248937423,0.7840922244492221,0.956079485585414,2000,0.8181818181818182,0.6666666666666666,0.9574543002697034,2000,0.8181818181818182,0.6666666666666666,0.9574543002697034,2000,0.12345049137012096,0.0414389666771096,0.23005032568267217,2000,
source_group,Combined,full_tie_groups,both,,,,,,,,,,,,173,69,473472,96989,418600,42117,173,0,126,126,47,14,0.10061395126612518,0.06700010535821023,0.14495638370536967,2000,0.8841071911327386,0.8215200232511563,0.9301422092247964,2000,0.7283236994219653,0.6166588050314465,0.8300653594771242,2000,0.7283236994219653,0.6166588050314465,0.8300653594771242,2000,0.14766679553197443,0.09039882507755927,0.21774028663290937,2000,
source_group,PraNet,prefix,A,0.952721,88,35,0,108546,10854,108546,10854,0.09999447238958598,0,True,85,34,114392,27947,99817,13372,85,0,53,53,32,6,0.1339651562359117,0.07919446132028972,0.2129449594745668,2000,0.8725872438632072,0.8021840173254232,0.9231306469078302,2000,0.6235294117647059,0.43243243243243246,0.77,2000,0.6235294117647059,0.43243243243243246,0.77,2000,0.18433248024466448,0.1112611404564085,0.2837742484545812,2000,
source_group,PraNet,prefix,B,0.796017,85,34,0,96050,9605,96050,9605,0.1,0,True,88,35,122344,24652,104988,7296,88,0,71,71,17,11,0.06949365641787633,0.04059732837727341,0.11114258680553361,2000,0.8581377100634278,0.7396981213181832,0.9443144443374539,2000,0.8068181818181818,0.6534653465346535,0.9450587084148727,2000,0.8068181818181818,0.6534653465346535,0.9450587084148727,2000,0.13262372714736242,0.046142509681209365,0.2509910344808167,2000,
source_group,PraNet,prefix,both,,,,,,,,,,,,173,69,236736,52599,204805,20668,173,0,124,124,49,17,0.10091550499255389,0.06819138327942806,0.14482570047341975,2000,0.8651197958907813,0.7921719291175965,0.9187840903395116,2000,0.7167630057803468,0.6021546961325968,0.8201159951159951,2000,0.7167630057803468,0.6021546961325968,0.8201159951159951,2000,0.15802976190615242,0.0977581724591718,0.23316041725785847,2000,
source_group,PraNet,full_tie_groups,A,0.952721,88,35,0,108546,10854,108546,10854,0.09999447238958598,0,True,85,34,114392,27947,99817,13372,85,0,53,53,32,6,0.1339651562359117,0.07919446132028972,0.2129449594745668,2000,0.8725872438632072,0.8021840173254232,0.9231306469078302,2000,0.6235294117647059,0.43243243243243246,0.77,2000,0.6235294117647059,0.43243243243243246,0.77,2000,0.18433248024466448,0.1112611404564085,0.2837742484545812,2000,
source_group,PraNet,full_tie_groups,B,0.796017,85,34,0,96050,9605,96050,9605,0.1,0,True,88,35,122344,24652,104988,7296,88,0,71,71,17,11,0.06949365641787633,0.04059732837727341,0.11114258680553361,2000,0.8581377100634278,0.7396981213181832,0.9443144443374539,2000,0.8068181818181818,0.6534653465346535,0.9450587084148727,2000,0.8068181818181818,0.6534653465346535,0.9450587084148727,2000,0.13262372714736242,0.046142509681209365,0.2509910344808167,2000,
source_group,PraNet,full_tie_groups,both,,,,,,,,,,,,173,69,236736,52599,204805,20668,173,0,124,124,49,17,0.10091550499255389,0.06819138327942806,0.14482570047341975,2000,0.8651197958907813,0.7921719291175965,0.9187840903395116,2000,0.7167630057803468,0.6021546961325968,0.8201159951159951,2000,0.7167630057803468,0.6021546961325968,0.8201159951159951,2000,0.15802976190615242,0.0977581724591718,0.23316041725785847,2000,
source_group,UACANet,prefix,A,0.9354750000000001,88,35,0,113381,11338,113381,11338,0.09999911801801008,0,True,85,34,114392,24089,102798,12495,85,0,56,56,29,4,0.1215490573746571,0.0710189436286287,0.19139133293822913,2000,0.8986467585145814,0.8446085375813234,0.9405248705841236,2000,0.6588235294117647,0.4939759036144578,0.7870419621749409,2000,0.6588235294117647,0.4939759036144578,0.7870419621749409,2000,0.1637435215369941,0.09322006451354016,0.25705779396596967,2000,
source_group,UACANet,prefix,B,0.811057,85,34,0,100336,10033,100336,10033,0.09999402009248924,0,True,88,35,122344,20301,110990,8947,88,0,72,72,16,6,0.08061086584376971,0.03550637475434689,0.14353292894311825,2000,0.9071961027921271,0.8292924161287212,0.9681509226464988,2000,0.8181818181818182,0.6705735294117646,0.9571428571428572,2000,0.8181818181818182,0.6705735294117646,0.9571428571428572,2000,0.118482380111934,0.03752644959557811,0.22060371290970218,2000,
source_group,UACANet,prefix,both,,,,,,,,,,,,173,69,236736,44390,213788,21442,173,0,128,128,45,10,0.10029561995996034,0.06401121574574177,0.14545681664218088,2000,0.9030650175723168,0.8534186909011205,0.9417969763500444,2000,0.7398843930635838,0.6349078341013824,0.8355263157894737,2000,0.7398843930635838,0.6349078341013824,0.8355263157894737,2000,0.1407205131820502,0.08528004306887409,0.20870474539328307,2000,
source_group,UACANet,full_tie_groups,A,0.9354750000000001,88,35,0,113381,11338,113381,11338,0.09999911801801008,0,True,85,34,114392,24089,102798,12495,85,0,56,56,29,4,0.1215490573746571,0.0710189436286287,0.19139133293822913,2000,0.8986467585145814,0.8446085375813234,0.9405248705841236,2000,0.6588235294117647,0.4939759036144578,0.7870419621749409,2000,0.6588235294117647,0.4939759036144578,0.7870419621749409,2000,0.1637435215369941,0.09322006451354016,0.25705779396596967,2000,
source_group,UACANet,full_tie_groups,B,0.811057,85,34,0,100336,10033,100336,10033,0.09999402009248924,0,True,88,35,122344,20301,110990,8947,88,0,72,72,16,6,0.08061086584376971,0.03550637475434689,0.14353292894311825,2000,0.9071961027921271,0.8292924161287212,0.9681509226464988,2000,0.8181818181818182,0.6705735294117646,0.9571428571428572,2000,0.8181818181818182,0.6705735294117646,0.9571428571428572,2000,0.118482380111934,0.03752644959557811,0.22060371290970218,2000,
