model,allocation,tie_rule,score,budget,cutoff,global_cutoff_tie_size,global_cutoff_tie_retained,clips,source_groups,N,B,A,E,admitted_clips,zero_retained_clips,risk_pass_clips,joint_pass_clips,high_risk_clips,under_half_coverage_clips,pooled_risk,pooled_risk_ci_lower,pooled_risk_ci_upper,pooled_risk_bootstrap_valid,retention,retention_ci_lower,retention_ci_upper,retention_bootstrap_valid,joint_fraction,joint_fraction_ci_lower,joint_fraction_ci_upper,joint_fraction_bootstrap_valid,compliance_admitted,compliance_admitted_ci_lower,compliance_admitted_ci_upper,compliance_admitted_bootstrap_valid,mean_clip_risk,mean_clip_risk_ci_lower,mean_clip_risk_ci_upper,mean_clip_risk_bootstrap_valid
PraNet,half_per_clip,sha256,confidence_deficit,101943,,,,86,53,116136,26299,101943,12106,86,0,64,64,22,0,0.11875263627713527,0.07490760607255985,0.1796828920153248,2000,0.8777898326100434,0.8286312805792744,0.9178696331790027,2000,0.7441860465116279,0.6153645833333333,0.8552671211160431,2000,0.7441860465116279,0.6153645833333333,0.8552671211160431,2000,0.16772235631441676,0.09816841541656365,0.2577147020015725,2000
PraNet,half_per_clip,sha256,entropy,101943,,,,86,53,116136,26299,101943,24237,86,0,51,51,35,0,0.23775050763662045,0.15636671116011802,0.3385896913100321,2000,0.8777898326100434,0.8285833195841961,0.9226641384074196,2000,0.5930232558139535,0.46511627906976744,0.7066767676767676,2000,0.5930232558139535,0.46511627906976744,0.7066767676767676,2000,0.24128140947090185,0.160632338749933,0.34053701865236613,2000
PraNet,half_per_clip,sha256,negative_area_fraction,101943,,,,86,53,116136,26299,101943,12106,86,0,63,63,23,0,0.11875263627713527,0.07496724108478506,0.1803322920050129,2000,0.8777898326100434,0.828266268220304,0.9177614851500604,2000,0.7325581395348837,0.6025602409638554,0.8421200473092844,2000,0.7325581395348837,0.6025602409638554,0.8421200473092844,2000,0.1688426662053289,0.09933236938626913,0.2582747149918752,2000
UACANet,global,identity,confidence_deficit,101943,0.734811,1,1,86,53,116136,22842,101943,8649,86,0,65,65,21,8,0.08484152908978547,0.053201598178551926,0.12722020628377323,2000,0.8777898326100434,0.8178911654729708,0.9255334266531985,2000,0.7558139534883721,0.6374965659340659,0.8571428571428571,2000,0.7558139534883721,0.6374965659340659,0.8571428571428571,2000,0.13712459987286144,0.07661723958531047,0.21441539920246544,2000
UACANet,global,identity,entropy,101943,0.022273,1,1,86,53,116136,22842,101943,20879,86,0,54,52,32,5,0.20481053137537644,0.12921717925761772,0.29883083221044876,2000,0.8777898326100434,0.8207270879140031,0.9247130348230269,2000,0.6046511627906976,0.47368421052631576,0.734045919741449,2000,0.627906976744186,0.5,0.747260748959778,2000,0.2271405996485032,0.1464886896814982,0.32107471318165065,2000
UACANet,global,identity,negative_area_fraction,101943,-0.0,15801,1608,86,53,116136,22842,101943,8649,86,0,66,65,20,8,0.08484152908978547,0.0497099786736701,0.13557190345054815,2000,0.8777898326100434,0.8207608001268921,0.9253449336607522,2000,0.7558139534883721,0.6352901430842607,0.8636503928170595,2000,0.7674418604651163,0.6477105614973262,0.8705977229601518,2000,0.12839326525510855,0.07035641372173793,0.20227992493433106,2000
UACANet,global,sha256,confidence_deficit,101943,0.734811,1,1,86,53,116136,22842,101943,8649,86,0,65,65,21,8,0.08484152908978547,0.053201598178551926,0.12722020628377323,2000,0.8777898326100434,0.8178911654729708,0.9255334266531985,2000,0.7558139534883721,0.6374965659340659,0.8571428571428571,2000,0.7558139534883721,0.6374965659340659,0.8571428571428571,2000,0.13712459987286144,0.07661723958531047,0.21441539920246544,2000
UACANet,global,sha256,entropy,101943,0.022273,1,1,86,53,116136,22842,101943,20879,86,0,54,52,32,5,0.20481053137537644,0.12921717925761772,0.29883083221044876,2000,0.8777898326100434,0.8207270879140031,0.9247130348230269,2000,0.6046511627906976,0.47368421052631576,0.734045919741449,2000,0.627906976744186,0.5,0.747260748959778,2000,0.2271405996485032,0.1464886896814982,0.32107471318165065,2000
UACANet,global,sha256,negative_area_fraction,101943,-0.0,15801,1608,86,53,116136,22842,101943,8649,86,0,65,65,21,8,0.08484152908978547,0.05359859123702898,0.12693173039563077,2000,0.8777898326100434,0.8179520219001082,0.925114070513269,2000,0.7558139534883721,0.6374965659340659,0.8571428571428571,2000,0.7558139534883721,0.6374965659340659,0.8571428571428571,2000,0.13810411407916667,0.07753321023773706,0.215552296971222,2000
UACANet,half_per_clip,identity,confidence_deficit,101943,,,,86,53,116136,22842,101943,8650,86,0,69,69,17,0,0.08485133849307946,0.04817814247664047,0.13801075424123554,2000,0.8777898326100434,0.8262192711014821,0.9206804076656611,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.1296858448044297,0.06745097866667427,0.20934711193595676,2000
UACANet,half_per_clip,identity,entropy,101943,,,,86,53,116136,22842,101943,20993,86,0,54,54,32,0,0.20592880335089217,0.13055774408579915,0.2998614027221397,2000,0.8777898326100434,0.8346079321711123,0.9177464193283436,2000,0.627906976744186,0.5,0.747260748959778,2000,0.627906976744186,0.5,0.747260748959778,2000,0.21634415327093287,0.13796709818899827,0.30993659618451797,2000
UACANet,half_per_clip,identity,negative_area_fraction,101943,,,,86,53,116136,22842,101943,8649,86,0,69,69,17,0,0.08484152908978547,0.04805944758837795,0.13804089540349637,2000,0.8777898326100434,0.8263557439781737,0.9207216826094226,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.12986117372925168,0.06739956844845507,0.20948371083534878,2000
UACANet,half_per_clip,sha256,confidence_deficit,101943,,,,86,53,116136,22842,101943,8650,86,0,69,69,17,0,0.08485133849307946,0.04817814247664047,0.13801075424123554,2000,0.8777898326100434,0.8262192711014821,0.9206804076656611,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.1296858448044297,0.06745097866667427,0.20934711193595676,2000
UACANet,half_per_clip,sha256,entropy,101943,,,,86,53,116136,22842,101943,20993,86,0,54,54,32,0,0.20592880335089217,0.13055774408579915,0.2998614027221397,2000,0.8777898326100434,0.8346079321711123,0.9177464193283436,2000,0.627906976744186,0.5,0.747260748959778,2000,0.627906976744186,0.5,0.747260748959778,2000,0.21634415327093287,0.13796709818899827,0.30993659618451797,2000
UACANet,half_per_clip,sha256,negative_area_fraction,101943,,,,86,53,116136,22842,101943,8649,86,0,69,69,17,0,0.08484152908978547,0.04805944758837795,0.13804089540349637,2000,0.8777898326100434,0.8263557439781737,0.9207216826094226,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.8023255813953488,0.6818181818181818,0.9042679837892603,2000,0.12986117372925168,0.06739956844845507,0.20948371083534878,2000
